symbol,isin,name,series,segment,status
RELIANCE,INE002A01018,Reliance Industries Limited,EQ,NSE,ACTIVE
TCS,INE467B01029,Tata Consultancy Services Limited,EQ,NSE,ACTIVE
INFY,INE009A01021,Infosys Limited,EQ,NSE,ACTIVE
SBIN,INE062A01020,State Bank of India,EQ,NSE,ACTIVE
HDFC,INE040A01034,HDFC Bank Limited,EQ,NSE,ACTIVE
ICICIBANK,INE090A01021,ICICI Bank Limited,EQ,NSE,ACTIVE
BHARTIARTL,INE397D01024,Bharti Airtel Limited,EQ,NSE,ACTIVE
WIPRO,INE075A01022,Wipro Limited,EQ,NSE,ACTIVE
HDFCBANK,INE040A01034,HDFC Bank Limited,EQ,NSE,ACTIVE
ITC,INE154A01025,ITC Limited,EQ,NSE,ACTIVE
LT,INE018A01030,Larsen & Toubro Limited,EQ,NSE,ACTIVE
HCLTECH,INE860A01027,HCL Technologies Limited,EQ,NSE,ACTIVE
AXISBANK,INE238A01034,Axis Bank Limited,EQ,NSE,ACTIVE
KOTAKBANK,INE237A01028,Kotak Mahindra Bank Limited,EQ,NSE,ACTIVE
MARUTI,INE585B01010,Maruti Suzuki India Limited,EQ,NSE,ACTIVE
SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Limited,EQ,NSE,ACTIVE
BAJFINANCE,INE296A01024,Bajaj Finance Limited,EQ,NSE,ACTIVE
TITAN,INE280A01028,Titan Company Limited,EQ,NSE,ACTIVE
NESTLEIND,INE239A01016,Nestle India Limited,EQ,NSE,ACTIVE
ULTRACEMCO,INE481G01011,UltraTech Cement Limited,EQ,NSE,ACTIVE
