symbol,open,high,low,close,prev_close,volume,traded_value
RELIANCE,2500.00,2550.50,2485.75,2540.25,2510.00,5000000,12650000000
TCS,3500.00,3520.00,3480.50,3515.75,3490.00,2500000,8789375000
INFY,1500.00,1520.25,1495.00,1518.50,1505.00,7500000,11388750000
SBIN,550.00,565.75,548.25,562.50,555.00,10000000,5575000000
HDFC,1650.00,1668.50,1645.00,1660.25,1655.00,3000000,4980750000
ICICIBANK,920.00,935.50,918.75,932.25,925.00,4500000,4195125000
BHARTIARTL,850.00,862.00,848.50,858.75,852.00,3500000,3005625000
WIPRO,425.00,430.50,423.75,428.25,426.00,6000000,2569500000
HDFCBANK,1680.00,1695.25,1675.50,1690.75,1685.00,2800000,4734100000
ITC,395.00,402.50,393.25,400.75,397.00,8000000,3206000000
